item_name,category,description,price,dietary_type,ingredients,customizations
Crunchy Taco,Tacos,"A crunchy corn taco shell filled with seasoned beef, lettuce, and cheese.",$1.79,Non-Veg,"Seasoned Beef, Iceberg Lettuce, Cheddar Cheese","Make it Supreme +$0.90, Add Sour Cream +$0.60, Add Jalapeños +$0.60"
Soft Taco,Tacos,"A warm flour tortilla filled with seasoned beef, lettuce, and cheese.",$1.79,Non-Veg,"Seasoned Beef, Iceberg Lettuce, Cheddar Cheese, Flour Tortilla","Make it Supreme +$0.90, Add Sour Cream +$0.60, Substitute Chicken +$0.80"
Crunchy Taco Supreme,Tacos,"A crunchy taco filled with seasoned beef, sour cream, tomatoes, lettuce, and cheese.",$2.69,Non-Veg,"Seasoned Beef, Reduced-Fat Sour Cream, Tomatoes, Iceberg Lettuce, Cheddar Cheese","Add Guacamole +$1.00, Substitute Black Beans +$0.00"
Soft Taco Supreme,Tacos,"A warm flour tortilla filled with seasoned beef, sour cream, tomatoes, lettuce, and cheese.",$2.69,Non-Veg,"Seasoned Beef, Reduced-Fat Sour Cream, Tomatoes, Iceberg Lettuce, Cheddar Cheese, Flour Tortilla","Add Guacamole +$1.00, Substitute Steak +$1.00"
Nacho Cheese Doritos® Locos Tacos,Tacos,"A crunchy taco shell made from Nacho Cheese Doritos® filled with seasoned beef, lettuce, and cheese.",$2.59,Non-Veg,"Seasoned Beef, Iceberg Lettuce, Cheddar Cheese, Doritos Shell","Make it Supreme +$0.90, Add Sour Cream +$0.60"
Nacho Cheese Doritos® Locos Tacos Supreme,Tacos,"A Nacho Cheese Doritos® shell filled with seasoned beef, sour cream, tomatoes, lettuce, and cheese.",$3.49,Non-Veg,"Seasoned Beef, Reduced-Fat Sour Cream, Tomatoes, Iceberg Lettuce, Cheddar Cheese, Doritos Shell","Add Jalapeños +$0.60, Add Guacamole +$1.00"
Cheesy Gordita Crunch,Tacos,"A crunchy taco shell inside a flatbread with melted three-cheese blend, seasoned beef, spicy ranch, lettuce, and cheese.",$4.99,Non-Veg,"Seasoned Beef, Spicy Ranch Sauce, Iceberg Lettuce, Cheddar Cheese, Three-Cheese Blend, Flatbread, Taco Shell","Add Tomatoes +$0.60, Substitute Chicken +$0.80"
Double Decker Taco,Tacos,"A crunchy taco shell wrapped in a soft flour tortilla with refried beans, filled with seasoned beef, lettuce, and cheese.",$2.99,Non-Veg,"Seasoned Beef, Refried Beans, Iceberg Lettuce, Cheddar Cheese, Flour Tortilla, Taco Shell","Make it Supreme +$0.90, Add Jalapeños +$0.60"
Bean Burrito,Burritos,"A warm flour tortilla filled with refried beans, cheddar cheese, red sauce, and diced onions.",$1.79,Veg,"Refried Beans, Cheddar Cheese, Red Sauce, Onions, Flour Tortilla","Add Sour Cream +$0.60, Add Jalapeños +$0.60, Make it Supreme +$0.90"
Beefy 5-Layer Burrito,Burritos,"Two flour tortillas with a layer of nacho cheese, filled with seasoned beef, refried beans, sour cream, and cheese.",$3.69,Non-Veg,"Seasoned Beef, Refried Beans, Nacho Cheese Sauce, Reduced-Fat Sour Cream, Cheddar Cheese, Flour Tortilla","Add Rice +$0.60, Add Jalapeños +$0.60"
Burrito Supreme®,Burritos,"A warm flour tortilla filled with seasoned beef, refried beans, red sauce, lettuce, cheese, onions, tomatoes, and sour cream.",$4.99,Non-Veg,"Seasoned Beef, Refried Beans, Red Sauce, Iceberg Lettuce, Cheddar Cheese, Onions, Tomatoes, Reduced-Fat Sour Cream, Flour Tortilla","Substitute Chicken +$0.80, Add Guacamole +$1.00"
Cheesy Bean and Rice Burrito,Burritos,"A warm flour tortilla filled with hearty beans, premium Latin rice, and warm nacho cheese sauce.",$1.19,Veg,"Refried Beans, Seasoned Rice, Nacho Cheese Sauce, Flour Tortilla","Add Creamy Jalapeño Sauce +$0.60, Add Black Beans +$0.60"
Chipotle Ranch Grilled Chicken Burrito,Burritos,"A grilled burrito filled with chicken, fiesta strips, avocado ranch, creamy chipotle sauce, lettuce, tomatoes, and cheese.",$2.99,Non-Veg,"Grilled Chicken, Fiesta Strips, Avocado Ranch Sauce, Creamy Chipotle Sauce, Iceberg Lettuce, Tomatoes, Cheddar Cheese, Flour Tortilla","Add Sour Cream +$0.60, Substitute Steak +$1.00"
Grilled Cheese Burrito,Burritos,"Seasoned beef, nacho cheese sauce, seasoned rice, fiesta strips, creamy chipotle sauce, sour cream, and a three-cheese blend wrapped inside a flour tortilla, with grilled cheese on the outside.",$4.99,Non-Veg,"Seasoned Beef, Nacho Cheese Sauce, Seasoned Rice, Fiesta Strips, Creamy Chipotle Sauce, Reduced-Fat Sour Cream, Three-Cheese Blend, Flour Tortilla","Substitute Steak +$1.00, Add Jalapeños +$0.60"
Black Bean Crunchwrap Supreme,Burritos,"A tostada shell wrapped in a flour tortilla with black beans, nacho cheese, lettuce, tomatoes, and sour cream.",$5.29,Veg,"Black Beans, Nacho Cheese Sauce, Iceberg Lettuce, Tomatoes, Reduced-Fat Sour Cream, Tostada Shell, Flour Tortilla","Add Guacamole +$1.00, Add Creamy Jalapeño Sauce +$0.60"
Crunchwrap Supreme®,Specialties,"A tostada shell wrapped in a flour tortilla with seasoned beef, nacho cheese, lettuce, tomatoes, and sour cream.",$5.29,Non-Veg,"Seasoned Beef, Nacho Cheese Sauce, Iceberg Lettuce, Tomatoes, Reduced-Fat Sour Cream, Tostada Shell, Flour Tortilla","Substitute Chicken +$0.80, Add Guacamole +$1.00"
Chalupa Supreme,Specialties,"A chewy, flaky chalupa shell filled with seasoned beef, sour cream, lettuce, tomatoes, and a three-cheese blend.",$4.59,Non-Veg,"Seasoned Beef, Reduced-Fat Sour Cream, Iceberg Lettuce, Tomatoes, Three-Cheese Blend, Chalupa Shell","Substitute Chicken +$0.80, Add Nacho Cheese Sauce +$0.60"
Chicken Quesadilla,Quesadillas,"Marinated white meat chicken, three-cheese blend, and creamy jalapeño sauce folded in a freshly grilled flour tortilla.",$5.29,Non-Veg,"Grilled Chicken, Three-Cheese Blend, Creamy Jalapeño Sauce, Flour Tortilla","Extra Chicken +$1.40, Add Sour Cream +$0.60"
Steak Quesadilla,Quesadillas,"Marinated steak, three-cheese blend, and creamy jalapeño sauce folded in a freshly grilled flour tortilla.",$5.79,Non-Veg,"Steak, Three-Cheese Blend, Creamy Jalapeño Sauce, Flour Tortilla","Extra Steak +$1.50, Add Guacamole +$1.00"
Three Cheese Quesadilla,Quesadillas,A melted three-cheese blend and creamy jalapeño sauce folded in a freshly grilled flour tortilla.,$4.39,Veg,"Three-Cheese Blend, Creamy Jalapeño Sauce, Flour Tortilla","Add Black Beans +$0.60, Add Pico de Gallo +$0.60"
Cantina Chicken Bowl,Bowls,"Slow-roasted chicken, seasoned rice, black beans, avocado ranch, sour cream, lettuce, purple cabbage, and pico de gallo.",$7.99,Non-Veg,"Slow-Roasted Chicken, Seasoned Rice, Black Beans, Avocado Ranch Sauce, Reduced-Fat Sour Cream, Iceberg Lettuce, Purple Cabbage, Pico de Gallo","Extra Chicken +$1.80, Add Guacamole +$1.00"
Power Menu Bowl - Chicken,Bowls,"Grilled chicken, seasoned rice, black beans, avocado ranch, sour cream, lettuce, tomatoes, and cheese.",$7.49,Non-Veg,"Grilled Chicken, Seasoned Rice, Black Beans, Avocado Ranch Sauce, Reduced-Fat Sour Cream, Iceberg Lettuce, Tomatoes, Cheddar Cheese","Extra Chicken +$1.50, Add Jalapeños +$0.60"
Power Menu Bowl - Steak,Bowls,"Grilled steak, seasoned rice, black beans, avocado ranch, sour cream, lettuce, tomatoes, and cheese.",$7.99,Non-Veg,"Steak, Seasoned Rice, Black Beans, Avocado Ranch Sauce, Reduced-Fat Sour Cream, Iceberg Lettuce, Tomatoes, Cheddar Cheese","Extra Steak +$1.50, Add Jalapeños +$0.60"
Power Menu Bowl - Veggie,Bowls,"Black beans, seasoned rice, avocado ranch, sour cream, lettuce, tomatoes, and cheese.",$6.49,Veg,"Black Beans, Seasoned Rice, Avocado Ranch Sauce, Reduced-Fat Sour Cream, Iceberg Lettuce, Tomatoes, Cheddar Cheese","Add Potatoes +$0.80, Add Guacamole +$1.00"
Chips and Nacho Cheese Sauce,Sides & Sweets,Crispy tortilla chips served with warm nacho cheese sauce.,$2.29,Veg,"Tortilla Chips, Nacho Cheese Sauce",Add Jalapeños +$0.60
Cheesy Fiesta Potatoes,Sides & Sweets,Crispy potato bites topped with warm nacho cheese sauce and reduced-fat sour cream.,$2.49,Veg,"Potatoes, Nacho Cheese Sauce, Reduced-Fat Sour Cream","Add Beef +$0.80, Add Jalapeños +$0.60"
Cinnamon Twists,Sides & Sweets,"Crispy, puffed corn twists sprinkled with cinnamon and sugar.",$1.19,Veg,"Corn Twists, Cinnamon Sugar",None
Black Beans and Rice,Sides & Sweets,A bowl of hearty black beans and premium seasoned Latin rice.,$2.19,Veg,"Black Beans, Seasoned Rice","Add Cheese +$0.60, Add Sour Cream +$0.60"
Pintos 'n Cheese,Sides & Sweets,A side of refried beans topped with red sauce and a three-cheese blend.,$2.29,Veg,"Refried Beans, Red Sauce, Three-Cheese Blend","Add Onions +$0.25, Add Sour Cream +$0.60"
Mountain Dew® Baja Blast™,Drinks,Tropical lime-flavored soft drink exclusive to Taco Bell.,$2.49,Veg,"Carbonated Water, High Fructose Corn Syrup, Natural and Artificial Flavor","Upgrade to Large +$0.30, Upgrade to Extra Large +$0.50"
MTN DEW® Baja Blast™ Freeze,Drinks,"An icy, slushy version of the classic Mountain Dew® Baja Blast™.",$3.29,Veg,"Ice, Mountain Dew Baja Blast Syrup",Upgrade to Large +$0.40
Pepsi®,Drinks,"Classic, refreshing cola.",$2.49,Veg,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Sugar","Upgrade to Large +$0.30, Upgrade to Extra Large +$0.50"
Diet Pepsi®,Drinks,"Light, crisp, calorie-free cola.",$2.49,Veg,"Carbonated Water, Caramel Color, Aspartame","Upgrade to Large +$0.30, Upgrade to Extra Large +$0.50"
Dr Pepper®,Drinks,A signature blend of 23 flavors.,$2.49,Veg,"Carbonated Water, High Fructose Corn Syrup, Caramel Color","Upgrade to Large +$0.30, Upgrade to Extra Large +$0.50"
Sweet Tea,Drinks,Classic freshly brewed iced tea sweetened with real sugar.,$2.49,Veg,"Water, Black Tea, Sugar","Upgrade to Large +$0.30, Upgrade to Extra Large +$0.50"
